,admin_code,band_1,band_5,band_11
0,371793,0,0,0
1,371794,0,0,0
2,371795,0,0,0
3,371796,0,0,0
4,371797,0,0,0
5,371798,0,0,0
6,371799,0,0,0
7,371800,0,0,0
8,371801,0,0,0
9,371802,0,0,0
10,371803,0,0,0
11,371804,0,0,0
12,371805,0,0,0
13,371806,0,0,0
14,371807,0,0,0
15,371808,0,0,0
16,371809,0,0,0
17,371810,0,0,0
18,371811,0,0,0
19,371812,0,0,0
20,371813,0,0,0
21,371814,0,0,0
22,371815,0,0,0
23,371816,0,0,0
24,371817,0,0,0
25,371818,0,0,0
26,371819,0,0,0
27,371820,0,0,0
28,371821,0,0,0
29,371822,0,0,0
30,371823,0,0,0
31,371824,0,0,0
32,371825,0,0,0
