,ADM0_NAME,ADM1_NAME,ADM2_NAME,band_1,band_5,band_11
0,Côte d'Ivoire,Bas-Sassandra,Nawa,0,0,0
1,Côte d'Ivoire,Comoé,Indénié-Djuablin,0,0,0
2,Côte d'Ivoire,Comoé,Sud-Comoé,0,0,0
3,Côte d'Ivoire,Denguele,Folon,0,0,0
4,Côte d'Ivoire,Denguele,Kabadougou,0,0,0
5,Côte d'Ivoire,District Autonome de Yamoussoukro,District Autonome de Yamoussoukro,0,0,0
6,Côte d'Ivoire,Gôh-Djiboua,Gôh,0,0,0
7,Côte d'Ivoire,Gôh-Djiboua,Lôh-Djiboua,0,0,0
8,Côte d'Ivoire,Lacs,Bélier,0,0,0
9,Côte d'Ivoire,Lacs,Iffou,0,0,0
10,Côte d'Ivoire,Lacs,Moronou,0,0,0
11,Côte d'Ivoire,Lacs,N'Zi,0,0,0
12,Côte d'Ivoire,Lagunes,Mé,0,0,0
13,Côte d'Ivoire,Montagnes,Cavally,0,0,0
14,Côte d'Ivoire,Montagnes,Guémon,0,0,0
15,Côte d'Ivoire,Montagnes,Tonkpi,0,0,0
16,Côte d'Ivoire,Sassandra-Marahoué,Haut-Sassandra,0,0,0
17,Côte d'Ivoire,Sassandra-Marahoué,Marahoué,0,0,0
18,Côte d'Ivoire,Savanes,Bagoué,0,0,0
19,Côte d'Ivoire,Savanes,Poro,0,0,0
20,Côte d'Ivoire,Savanes,Tchologo,0,0,0
21,Côte d'Ivoire,Valleé du Bandama,Gbèkè,0,0,0
22,Côte d'Ivoire,Valleé du Bandama,Hambol,0,0,0
23,Côte d'Ivoire,Woroba,Bafing,0,0,0
24,Côte d'Ivoire,Woroba,Béré,0,0,0
25,Côte d'Ivoire,Woroba,Worodougou,0,0,0
26,Côte d'Ivoire,Zanzan,Bounkani,0,0,0
27,Côte d'Ivoire,Zanzan,Gontougo,0,0,0
