,band_1,band_5,band_11,ADM2_CODE,ADM2_NAME,ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME
0,0,0,0,371794,Bafing,687860,Woroba,66,Côte d'Ivoire
1,0,0,0,371795,Bagoué,1048,Savanes,66,Côte d'Ivoire
2,0,0,0,371796,Bélier,1043,Lacs,66,Côte d'Ivoire
3,0,0,0,371797,Béré,687860,Woroba,66,Côte d'Ivoire
4,0,0,0,371798,Bounkani,1053,Zanzan,66,Côte d'Ivoire
5,0,0,0,371799,Cavally,687866,Montagnes,66,Côte d'Ivoire
6,0,0,0,371801,District Autonome de Yamoussoukro,687864,District Autonome de Yamoussoukro,66,Côte d'Ivoire
7,0,0,0,371802,Folon,1041,Denguele,66,Côte d'Ivoire
8,0,0,0,371803,Gbèkè,687868,Valleé du Bandama,66,Côte d'Ivoire
9,0,0,0,371805,Gôh,687862,Gôh-Djiboua,66,Côte d'Ivoire
10,0,0,0,371806,Gontougo,1053,Zanzan,66,Côte d'Ivoire
11,0,0,0,371808,Guémon,687866,Montagnes,66,Côte d'Ivoire
12,0,0,0,371809,Hambol,687868,Valleé du Bandama,66,Côte d'Ivoire
13,0,0,0,371810,Haut-Sassandra,687863,Sassandra-Marahoué,66,Côte d'Ivoire
14,0,0,0,371811,Iffou,1043,Lacs,66,Côte d'Ivoire
15,0,0,0,371812,Indénié-Djuablin,687867,Comoé,66,Côte d'Ivoire
16,0,0,0,371813,Kabadougou,1041,Denguele,66,Côte d'Ivoire
17,0,0,0,371814,Lôh-Djiboua,687862,Gôh-Djiboua,66,Côte d'Ivoire
18,0,0,0,371815,Marahoué,687863,Sassandra-Marahoué,66,Côte d'Ivoire
19,0,0,0,371816,Mé,1044,Lagunes,66,Côte d'Ivoire
20,0,0,0,371817,N'Zi,1043,Lacs,66,Côte d'Ivoire
21,0,0,0,371818,Nawa,687861,Bas-Sassandra,66,Côte d'Ivoire
22,0,0,0,371819,Poro,1048,Savanes,66,Côte d'Ivoire
23,0,0,0,371821,Sud-Comoé,687867,Comoé,66,Côte d'Ivoire
24,0,0,0,371822,Tchologo,1048,Savanes,66,Côte d'Ivoire
25,0,0,0,371823,Tonkpi,687866,Montagnes,66,Côte d'Ivoire
26,0,0,0,371824,Worodougou,687860,Woroba,66,Côte d'Ivoire
27,0,0,0,371825,Moronou,1043,Lacs,66,Côte d'Ivoire
