,band_1,band_5,band_11,ADM2_CODE,ADM2_NAME,ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME
0,0,0,0,19185.0,Ambatolampy,41770.0,Vakinankaratra,150.0,Madagascar
1,0,0,0,19186.0,Ambohidratrimo,41752.0,Analamanga,150.0,Madagascar
2,0,0,0,19187.0,Andramasina,41752.0,Analamanga,150.0,Madagascar
3,0,0,0,19188.0,Anjozorobe,41752.0,Analamanga,150.0,Madagascar
4,0,0,0,19189.0,Ankazobe,41752.0,Analamanga,150.0,Madagascar
5,0,0,0,19190.0,Antananarivo Atsimondrano,41752.0,Analamanga,150.0,Madagascar
6,0,0,0,19191.0,Antananarivo Avaradrano,41752.0,Analamanga,150.0,Madagascar
7,0,0,0,19192.0,Antananarivo Renivohitra,41752.0,Analamanga,150.0,Madagascar
8,0,0,0,19193.0,Antanifotsy,41770.0,Vakinankaratra,150.0,Madagascar
9,0,0,0,19194.0,Antsirabe I,41770.0,Vakinankaratra,150.0,Madagascar
10,0,0,0,19195.0,Antsirabe II,41770.0,Vakinankaratra,150.0,Madagascar
11,0,0,0,19196.0,Arivonimamo,41765.0,Itasy,150.0,Madagascar
12,0,0,0,19197.0,Betafo,41770.0,Vakinankaratra,150.0,Madagascar
13,0,0,0,19198.0,Faratsiho,41770.0,Vakinankaratra,150.0,Madagascar
14,0,0,0,19199.0,Fenoarivobe,41761.0,Bongolava,150.0,Madagascar
15,0,0,0,19200.0,Manjakandriana,41752.0,Analamanga,150.0,Madagascar
16,0,0,0,19201.0,Miarinarivo,41765.0,Itasy,150.0,Madagascar
17,0,0,0,19202.0,Soavinandriana,41765.0,Itasy,150.0,Madagascar
18,0,0,0,19203.0,Tsiroanomandidy,41761.0,Bongolava,150.0,Madagascar
19,0,0,0,19204.0,Ambanja,41762.0,Diana,150.0,Madagascar
20,0,0,0,19205.0,Ambilobe,41762.0,Diana,150.0,Madagascar
21,0,0,0,19206.0,Andapa,41768.0,Sava,150.0,Madagascar
22,0,0,0,19207.0,Antalaha,41768.0,Sava,150.0,Madagascar
23,0,0,0,19208.0,Antsiranana I,41762.0,Diana,150.0,Madagascar
24,0,0,0,19209.0,Antsiranana II,41762.0,Diana,150.0,Madagascar
25,0,0,0,19210.0,Vohemar,41768.0,Sava,150.0,Madagascar
26,0,0,0,19212.0,Sambava,41768.0,Sava,150.0,Madagascar
27,0,0,0,19213.0,Ambalavao,41763.0,Haute Matsiatra,150.0,Madagascar
28,0,0,0,19214.0,Ambatofinandrahana,41751.0,Amoron'i Mania,150.0,Madagascar
29,0,0,0,19215.0,Ambohimahasoa,41763.0,Haute Matsiatra,150.0,Madagascar
30,0,0,0,19216.0,Ambositra,41751.0,Amoron'i Mania,150.0,Madagascar
31,0,0,0,19217.0,Befotaka,41757.0,Atsimo Atsinanana,150.0,Madagascar
32,0,0,0,19218.0,Fandriana,41751.0,Amoron'i Mania,150.0,Madagascar
33,0,0,0,19219.0,Farafangana,41757.0,Atsimo Atsinanana,150.0,Madagascar
34,0,0,0,19220.0,Fianarantsoa I,41763.0,Haute Matsiatra,150.0,Madagascar
35,0,0,0,19222.0,Iakora,41764.0,Ihorombe,150.0,Madagascar
36,0,0,0,19223.0,Ifanadiana,41771.0,Vatovavy Fitovinany,150.0,Madagascar
37,0,0,0,19224.0,Ihosy,41764.0,Ihorombe,150.0,Madagascar
38,0,0,0,19225.0,Ikalamavony,41763.0,Haute Matsiatra,150.0,Madagascar
39,0,0,0,19226.0,Ikongo,41771.0,Vatovavy Fitovinany,150.0,Madagascar
40,0,0,0,19227.0,Ivohibe,41764.0,Ihorombe,150.0,Madagascar
