,admin_code,band_1,band_5,band_11
0,19185,0,0,0
1,19186,0,0,0
2,19187,0,0,0
3,19188,0,0,0
4,19189,0,0,0
5,19190,0,0,0
6,19191,0,0,0
7,19192,0,0,0
8,19193,0,0,0
9,19194,0,0,0
10,19195,0,0,0
11,19196,0,0,0
12,19197,0,0,0
13,19198,0,0,0
14,19199,0,0,0
15,19200,0,0,0
16,19201,0,0,0
17,19202,0,0,0
18,19203,0,0,0
19,19204,0,0,0
20,19205,0,0,0
21,19206,0,0,0
22,19207,0,0,0
23,19208,0,0,0
24,19209,0,0,0
25,19210,0,0,0
26,19212,0,0,0
27,19213,0,0,0
28,19214,0,0,0
29,19215,0,0,0
30,19216,0,0,0
31,19217,0,0,0
32,19218,0,0,0
33,19219,0,0,0
34,19220,0,0,0
35,19222,0,0,0
36,19223,0,0,0
37,19224,0,0,0
38,19225,0,0,0
39,19226,0,0,0
40,19227,0,0,0
41,19228,0,0,0
42,19229,0,0,0
43,19230,0,0,0
44,19231,0,0,0
45,19232,0,0,0
46,19233,0,0,0
47,19234,0,0,0
48,19235,0,0,0
49,19236,0,0,0
50,19237,0,0,0
51,19238,0,0,0
52,19239,0,0,0
53,19240,0,0,0
54,19241,0,0,0
55,19242,0,0,0
56,19243,0,0,0
57,19244,0,0,0
58,19245,0,0,0
59,19246,0,0,0
60,19247,0,0,0
61,19248,0,0,0
62,19249,0,0,0
63,19250,0,0,0
64,19251,0,0,0
65,19252,0,0,0
66,19253,0,0,0
67,19254,0,0,0
68,19255,0,0,0
69,19256,0,0,0
70,19257,0,0,0
71,19258,0,0,0
72,19259,0,0,0
73,19260,0,0,0
74,19261,0,0,0
75,19262,0,0,0
76,19263,0,0,0
77,19264,0,0,0
78,19265,0,0,0
79,19266,0,0,0
80,19267,0,0,0
81,19269,0,0,0
82,19270,0,0,0
83,19271,0,0,0
84,19272,0,0,0
85,19273,0,0,0
86,19274,0,0,0
87,19275,0,0,0
88,19276,0,0,0
89,19277,0,0,0
90,19278,0,0,0
91,19279,0,0,0
92,19280,0,0,0
93,19281,0,0,0
94,19282,0,0,0
95,19283,0,0,0
96,19285,0,0,0
97,19286,0,0,0
98,19287,0,0,0
99,19288,0,0,0
100,19289,0,0,0
101,19290,0,0,0
102,19291,0,0,0
103,19292,0,0,0
104,19293,0,0,0
105,19294,0,0,0
106,19295,0,0,0
107,371788,0,0,0
108,371789,0,0,0
109,371790,0,0,0
110,371791,0,0,0
111,371792,0,0,0
