,band_1,band_5,band_11,ADM2_CODE,ADM2_NAME,ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME
0,0,0,0,19185,Ambatolampy,41770,Vakinankaratra,150,Madagascar
1,0,0,0,19186,Ambohidratrimo,41752,Analamanga,150,Madagascar
2,0,0,0,19187,Andramasina,41752,Analamanga,150,Madagascar
3,0,0,0,19188,Anjozorobe,41752,Analamanga,150,Madagascar
4,0,0,0,19189,Ankazobe,41752,Analamanga,150,Madagascar
5,0,0,0,19190,Antananarivo Atsimondrano,41752,Analamanga,150,Madagascar
6,0,0,0,19191,Antananarivo Avaradrano,41752,Analamanga,150,Madagascar
7,0,0,0,19192,Antananarivo Renivohitra,41752,Analamanga,150,Madagascar
8,0,0,0,19193,Antanifotsy,41770,Vakinankaratra,150,Madagascar
9,0,0,0,19194,Antsirabe I,41770,Vakinankaratra,150,Madagascar
10,0,0,0,19195,Antsirabe II,41770,Vakinankaratra,150,Madagascar
11,0,0,0,19196,Arivonimamo,41765,Itasy,150,Madagascar
12,0,0,0,19197,Betafo,41770,Vakinankaratra,150,Madagascar
13,0,0,0,19198,Faratsiho,41770,Vakinankaratra,150,Madagascar
14,0,0,0,19199,Fenoarivobe,41761,Bongolava,150,Madagascar
15,0,0,0,19200,Manjakandriana,41752,Analamanga,150,Madagascar
16,0,0,0,19201,Miarinarivo,41765,Itasy,150,Madagascar
17,0,0,0,19202,Soavinandriana,41765,Itasy,150,Madagascar
18,0,0,0,19203,Tsiroanomandidy,41761,Bongolava,150,Madagascar
19,0,0,0,19204,Ambanja,41762,Diana,150,Madagascar
20,0,0,0,19205,Ambilobe,41762,Diana,150,Madagascar
21,0,0,0,19206,Andapa,41768,Sava,150,Madagascar
22,0,0,0,19207,Antalaha,41768,Sava,150,Madagascar
23,0,0,0,19208,Antsiranana I,41762,Diana,150,Madagascar
24,0,0,0,19209,Antsiranana II,41762,Diana,150,Madagascar
25,0,0,0,19210,Vohemar,41768,Sava,150,Madagascar
26,0,0,0,19212,Sambava,41768,Sava,150,Madagascar
27,0,0,0,19213,Ambalavao,41763,Haute Matsiatra,150,Madagascar
28,0,0,0,19214,Ambatofinandrahana,41751,Amoron'i Mania,150,Madagascar
29,0,0,0,19215,Ambohimahasoa,41763,Haute Matsiatra,150,Madagascar
30,0,0,0,19216,Ambositra,41751,Amoron'i Mania,150,Madagascar
31,0,0,0,19217,Befotaka,41757,Atsimo Atsinanana,150,Madagascar
32,0,0,0,19218,Fandriana,41751,Amoron'i Mania,150,Madagascar
33,0,0,0,19219,Farafangana,41757,Atsimo Atsinanana,150,Madagascar
34,0,0,0,19220,Fianarantsoa I,41763,Haute Matsiatra,150,Madagascar
35,0,0,0,19222,Iakora,41764,Ihorombe,150,Madagascar
36,0,0,0,19223,Ifanadiana,41771,Vatovavy Fitovinany,150,Madagascar
37,0,0,0,19224,Ihosy,41764,Ihorombe,150,Madagascar
38,0,0,0,19225,Ikalamavony,41763,Haute Matsiatra,150,Madagascar
39,0,0,0,19226,Ikongo,41771,Vatovavy Fitovinany,150,Madagascar
40,0,0,0,19227,Ivohibe,41764,Ihorombe,150,Madagascar
41,0,0,0,19228,Manakara Atsimo,41771,Vatovavy Fitovinany,150,Madagascar
42,0,0,0,19229,Manandriana,41751,Amoron'i Mania,150,Madagascar
43,0,0,0,19230,Mananjary,41771,Vatovavy Fitovinany,150,Madagascar
44,0,0,0,19231,Midongy Atsimo,41757,Atsimo Atsinanana,150,Madagascar
45,0,0,0,19232,Nosy-Varika,41771,Vatovavy Fitovinany,150,Madagascar
46,0,0,0,19233,Vangaindrano,41757,Atsimo Atsinanana,150,Madagascar
47,0,0,0,19234,Vohipeno,41771,Vatovavy Fitovinany,150,Madagascar
48,0,0,0,19235,Vondrozo,41757,Atsimo Atsinanana,150,Madagascar
49,0,0,0,19236,Ambato Boeni,41760,Boeny,150,Madagascar
50,0,0,0,19237,Ambatomainty,41766,Melaky,150,Madagascar
51,0,0,0,19238,Analalava,41769,Sofia,150,Madagascar
52,0,0,0,19239,Antsalova,41766,Melaky,150,Madagascar
53,0,0,0,19240,Antsohihy,41769,Sofia,150,Madagascar
54,0,0,0,19241,Bealanana,41769,Sofia,150,Madagascar
55,0,0,0,19242,Befandriana Nord,41769,Sofia,150,Madagascar
56,0,0,0,19243,Besalampy,41766,Melaky,150,Madagascar
57,0,0,0,19244,Port-Berge (Boriziny Vaovao),41769,Sofia,150,Madagascar
58,0,0,0,19245,Kandreho,41759,Betsiboka,150,Madagascar
59,0,0,0,19246,Maevatanana,41759,Betsiboka,150,Madagascar
60,0,0,0,19247,Mahajanga I,41760,Boeny,150,Madagascar
61,0,0,0,19248,Mahajanga II,41760,Boeny,150,Madagascar
62,0,0,0,19249,Maintirano,41766,Melaky,150,Madagascar
63,0,0,0,19250,Mampikony,41769,Sofia,150,Madagascar
64,0,0,0,19251,Mandritsara,41769,Sofia,150,Madagascar
65,0,0,0,19252,Marovoay,41760,Boeny,150,Madagascar
66,0,0,0,19253,Mitsinjo,41760,Boeny,150,Madagascar
67,0,0,0,19254,Morafenobe,41766,Melaky,150,Madagascar
68,0,0,0,19255,Soalala,41760,Boeny,150,Madagascar
69,0,0,0,19256,Tsaratanana,41759,Betsiboka,150,Madagascar
70,0,0,0,19257,Ambatondrazaka,41750,Alaotra Mangoro,150,Madagascar
71,0,0,0,19258,Amparafaravola,41750,Alaotra Mangoro,150,Madagascar
72,0,0,0,19259,Andilamena,41750,Alaotra Mangoro,150,Madagascar
73,0,0,0,19260,Anosibe-An'ala,41750,Alaotra Mangoro,150,Madagascar
74,0,0,0,19261,Antanambao Manampontsy,41758,Atsinanana,150,Madagascar
75,0,0,0,19262,Fenerive Est,41753,Analanjirofo,150,Madagascar
76,0,0,0,19263,Mahanoro,41758,Atsinanana,150,Madagascar
77,0,0,0,19264,Mananara Avaratra,41753,Analanjirofo,150,Madagascar
78,0,0,0,19265,Maroantsetra,41753,Analanjirofo,150,Madagascar
79,0,0,0,19266,Marolambo,41758,Atsinanana,150,Madagascar
80,0,0,0,19267,Moramanga,41750,Alaotra Mangoro,150,Madagascar
81,0,0,0,19269,Soanierana Ivongo,41753,Analanjirofo,150,Madagascar
82,0,0,0,19270,Toamasina I,41758,Atsinanana,150,Madagascar
83,0,0,0,19271,Toamasina II,41758,Atsinanana,150,Madagascar
84,0,0,0,19272,Vatomandry,41758,Atsinanana,150,Madagascar
85,0,0,0,19273,Vavatenina,41753,Analanjirofo,150,Madagascar
86,0,0,0,19274,Brickaville,41758,Atsinanana,150,Madagascar
87,0,0,0,19275,Amboasary-Atsimo,41755,Anosy,150,Madagascar
88,0,0,0,19276,Ambovombe-Androy,41754,Androy,150,Madagascar
89,0,0,0,19277,Ampanihy Ouest,41756,Atsimo Andrefana,150,Madagascar
90,0,0,0,19278,Ankazoabo,41756,Atsimo Andrefana,150,Madagascar
91,0,0,0,19279,Bekily,41754,Androy,150,Madagascar
92,0,0,0,19280,Beloha,41754,Androy,150,Madagascar
93,0,0,0,19281,Belo Sur Tsiribihina,41767,Menabe,150,Madagascar
94,0,0,0,19282,Benenitra,41756,Atsimo Andrefana,150,Madagascar
95,0,0,0,19283,Beroroha,41756,Atsimo Andrefana,150,Madagascar
96,0,0,0,19285,Betroka,41755,Anosy,150,Madagascar
97,0,0,0,19286,Mahabo,41767,Menabe,150,Madagascar
98,0,0,0,19287,Manja,41767,Menabe,150,Madagascar
99,0,0,0,19288,Miandrivazo,41767,Menabe,150,Madagascar
100,0,0,0,19289,Morombe,41756,Atsimo Andrefana,150,Madagascar
101,0,0,0,19290,Morondava,41767,Menabe,150,Madagascar
102,0,0,0,19291,Sakaraha,41756,Atsimo Andrefana,150,Madagascar
103,0,0,0,19292,Taolagnaro,41755,Anosy,150,Madagascar
104,0,0,0,19293,Toliara I,41756,Atsimo Andrefana,150,Madagascar
105,0,0,0,19294,Toliara II,41756,Atsimo Andrefana,150,Madagascar
106,0,0,0,19295,Tsihombe,41754,Androy,150,Madagascar
107,0,0,0,371788,Betioky Atsimo,41756,Atsimo Andrefana,150,Madagascar
108,0,0,0,371789,Isandra,41763,Haute Matsiatra,150,Madagascar
109,0,0,0,371790,Lalangina,41763,Haute Matsiatra,150,Madagascar
110,0,0,0,371791,Mandoto,41770,Vakinankaratra,150,Madagascar
111,0,0,0,371792,Vohibato,41763,Haute Matsiatra,150,Madagascar
