,admin_code,band_1,band_5,band_11
0,21833,9462,9462,9462
1,21834,0,0,0
2,21835,0,0,0
3,21836,0,0,0
4,21837,0,0,0
5,21838,0,0,0
6,21839,4603,4603,0
7,21840,0,0,0
8,21841,148325,148325,106641
9,21842,441822,441822,404997
10,21843,0,0,0
11,21844,0,0,0
12,21845,138437,138437,138437
13,21846,0,0,0
14,21848,0,0,0
15,21849,0,0,0
16,21850,968633,968633,913139
17,21851,0,0,0
18,21852,532949,532949,500470
19,21853,0,0,0
20,21854,208338,208338,189925
21,21855,33245,33245,19436
22,21856,0,0,0
23,21857,0,0,0
24,21858,0,0,0
25,21860,0,0,0
26,21861,0,0,0
27,21862,0,0,0
28,21863,0,0,0
29,21864,0,0,0
30,21865,0,0,0
31,21866,0,0,0
32,21867,0,0,0
33,21868,0,0,0
34,21869,0,0,0
35,21870,0,0,0
36,21871,0,0,0
37,21872,0,0,0
38,21873,0,0,0
39,21874,0,0,0
40,21875,0,0,0
41,21876,0,0,0
42,21877,0,0,0
43,21878,0,0,0
44,21879,0,0,0
45,21880,0,0,0
46,21882,0,0,0
47,21883,0,0,0
48,21884,0,0,0
49,21885,0,0,0
50,21886,0,0,0
51,21887,0,0,0
52,21888,0,0,0
53,21889,0,0,0
54,21890,0,0,0
55,21891,0,0,0
56,21892,0,0,0
57,21893,0,0,0
58,21894,0,0,0
59,21895,0,0,0
60,21896,0,0,0
61,21897,0,0,0
62,21898,0,0,0
63,21899,0,0,0
64,21900,0,0,0
65,21901,0,0,0
66,21902,0,0,0
67,21903,0,0,0
68,21904,0,0,0
69,21905,0,0,0
70,21906,0,0,0
71,21907,0,0,0
72,21908,0,0,0
73,21910,0,0,0
74,21911,0,0,0
75,21912,0,0,0
76,21913,66235,66235,57029
77,21914,57881,57881,57881
78,21915,0,0,0
79,21916,24891,24891,24891
80,21917,205098,205098,186685
81,21918,170915,170915,147899
82,21919,9462,9462,0
83,21920,0,0,0
84,21921,191374,191374,172961
85,21922,0,0,0
86,21923,0,0,0
87,21924,0,0,0
88,21925,0,0,0
89,21926,0,0,0
90,21927,0,0,0
91,21928,0,0,0
92,21929,0,0,0
93,21930,0,0,0
94,21931,0,0,0
95,21932,0,0,0
96,21933,0,0,0
97,21934,0,0,0
98,21935,0,0,0
99,21936,0,0,0
100,21937,0,0,0
101,21938,0,0,0
102,21939,0,0,0
103,21940,0,0,0
104,21941,0,0,0
105,21942,0,0,0
106,21943,0,0,0
107,21944,0,0,0
108,21945,0,0,0
109,21946,0,0,0
110,21947,0,0,0
111,21948,0,0,0
112,21949,0,0,0
113,21950,0,0,0
114,21951,0,0,0
115,21952,0,0,0
116,21953,0,0,0
117,21954,0,0,0
118,21955,0,0,0
119,21956,0,0,0
120,21957,0,0,0
121,21958,0,0,0
122,21959,0,0,0
123,21960,0,0,0
124,21961,0,0,0
125,65247,0,0,0
126,65248,0,0,0
127,65249,0,0,0
128,65250,0,0,0
129,65251,0,0,0
130,65252,0,0,0
131,65259,0,0,0
132,65260,0,0,0
133,65261,0,0,0
134,65262,0,0,0
135,65263,0,0,0
136,65264,0,0,0
137,65266,0,0,0
138,371527,0,0,0
139,371528,0,0,0
140,371529,0,0,0
141,371530,0,0,0
142,371531,0,0,0
143,371532,0,0,0
144,371533,0,0,0
145,371534,0,0,0
146,371535,0,0,0
147,371536,0,0,0
148,371537,0,0,0
149,371538,0,0,0
150,371539,0,0,0
151,371540,0,0,0
152,371541,0,0,0
153,371542,0,0,0
154,371543,0,0,0
155,371544,0,0,0
156,371545,0,0,0
157,371546,0,0,0
