,admin_code,band_1,band_5,band_11
0,21833,87,38,14
1,21834,0,0,0
2,21835,0,0,0
3,21836,0,0,0
4,21837,0,0,0
5,21838,0,0,0
6,21839,12,10,10
7,21840,0,0,0
8,21841,557,356,182
9,21842,672,480,306
10,21843,0,0,0
11,21844,0,0,0
12,21845,91,69,49
13,21846,0,0,0
14,21848,0,0,0
15,21849,0,0,0
16,21850,861,745,370
17,21851,0,0,0
18,21852,6886,6450,5643
19,21853,0,0,0
20,21854,623,538,427
21,21855,447,368,176
22,21857,0,0,0
23,21858,0,0,0
24,21860,0,0,0
25,21861,0,0,0
26,21862,0,0,0
27,21864,0,0,0
28,21866,0,0,0
29,21867,0,0,0
30,21868,0,0,0
31,21869,0,0,0
32,21870,0,0,0
33,21872,0,0,0
34,21873,0,0,0
35,21874,0,0,0
36,21875,0,0,0
37,21876,0,0,0
38,21877,0,0,0
39,21878,0,0,0
40,21879,0,0,0
41,21880,0,0,0
42,21882,0,0,0
43,21883,0,0,0
44,21884,0,0,0
45,21886,0,0,0
46,21887,0,0,0
47,21888,0,0,0
48,21889,0,0,0
49,21890,0,0,0
50,21891,0,0,0
51,21892,0,0,0
52,21893,0,0,0
53,21894,0,0,0
54,21895,0,0,0
55,21896,0,0,0
56,21897,0,0,0
57,21898,0,0,0
58,21899,0,0,0
59,21900,0,0,0
60,21901,0,0,0
61,21902,0,0,0
62,21903,0,0,0
63,21904,0,0,0
64,21905,0,0,0
65,21906,0,0,0
66,21907,0,0,0
67,21908,0,0,0
68,21910,0,0,0
69,21911,0,0,0
70,21912,0,0,0
71,21913,26,24,14
72,21914,188,89,18
73,21915,0,0,0
74,21916,20,18,18
75,21917,482,263,178
76,21918,589,415,259
77,21919,0,0,0
78,21920,0,0,0
79,21921,358,247,188
80,21922,0,0,0
81,21923,0,0,0
82,21924,0,0,0
83,21925,0,0,0
84,21926,0,0,0
85,21927,0,0,0
86,21928,0,0,0
87,21929,0,0,0
88,21930,0,0,0
89,21931,0,0,0
90,21932,0,0,0
91,21933,0,0,0
92,21934,0,0,0
93,21935,0,0,0
94,21936,0,0,0
95,21937,0,0,0
96,21938,0,0,0
97,21939,0,0,0
98,21940,0,0,0
99,21941,0,0,0
100,21942,0,0,0
101,21943,0,0,0
102,21944,0,0,0
103,21945,0,0,0
104,21946,0,0,0
105,21947,0,0,0
106,21948,0,0,0
107,21949,0,0,0
108,21950,0,0,0
109,21951,0,0,0
110,21952,0,0,0
111,21953,0,0,0
112,21954,0,0,0
113,21955,0,0,0
114,21956,0,0,0
115,21957,0,0,0
116,21958,0,0,0
117,21959,0,0,0
118,21960,0,0,0
119,21961,0,0,0
120,65247,0,0,0
121,65249,0,0,0
122,65250,0,0,0
123,65251,0,0,0
124,65252,0,0,0
125,65259,0,0,0
126,65260,0,0,0
127,65261,0,0,0
128,65262,0,0,0
129,65263,0,0,0
130,65264,0,0,0
131,65266,0,0,0
132,371527,0,0,0
133,371528,0,0,0
134,371531,0,0,0
135,371532,0,0,0
136,371533,0,0,0
137,371534,0,0,0
138,371535,0,0,0
139,371536,0,0,0
140,371537,0,0,0
141,371538,24,24,4
142,371539,0,0,0
143,371540,0,0,0
144,371541,0,0,0
145,371542,0,0,0
146,371543,0,0,0
147,371544,0,0,0
148,371545,0,0,0
149,371546,0,0,0
