,ADM0_NAME,ADM1_NAME,ADM2_NAME,band_1,band_5,band_11
0,Malawi,Area under National Administration,Area under National Administration,0,0,0
1,Malawi,Central Region,Dedza,0,0,0
2,Malawi,Central Region,Dowa,0,0,0
3,Malawi,Central Region,Kasungu,0,0,0
4,Malawi,Central Region,Lilongwe,0,0,0
5,Malawi,Central Region,Mchinji,0,0,0
6,Malawi,Central Region,Nkhotakota,0,0,0
7,Malawi,Central Region,Ntcheu,0,0,0
8,Malawi,Central Region,Ntchisi,0,0,0
9,Malawi,Central Region,Salima,0,0,0
10,Malawi,Northern Region,Chitipa,0,0,0
11,Malawi,Northern Region,Karonga,0,0,0
12,Malawi,Northern Region,Mzimba,0,0,0
13,Malawi,Northern Region,Nkhata Bay,0,0,0
14,Malawi,Northern Region,Rumphi,0,0,0
15,Malawi,Southern Region,Balaka,0,0,0
16,Malawi,Southern Region,Blantyre,0,0,0
17,Malawi,Southern Region,Chikwawa,0,0,0
18,Malawi,Southern Region,Chiradzulu,0,0,0
19,Malawi,Southern Region,Machinga,0,0,0
20,Malawi,Southern Region,Mangochi,0,0,0
21,Malawi,Southern Region,Mulanje,0,0,0
22,Malawi,Southern Region,Mwanza,0,0,0
23,Malawi,Southern Region,Neno,0,0,0
24,Malawi,Southern Region,Nsanje,0,0,0
25,Malawi,Southern Region,Phalombe,0,0,0
26,Malawi,Southern Region,Thyolo,0,0,0
27,Malawi,Southern Region,Zomba,0,0,0
