,band_1,band_5,band_11,ADM2_CODE,ADM2_NAME,ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME
0,0,0,0,19307,Dedza,1888,Central Region,152,Malawi
1,0,0,0,19308,Dowa,1888,Central Region,152,Malawi
2,0,0,0,19309,Kasungu,1888,Central Region,152,Malawi
3,0,0,0,19310,Lilongwe,1888,Central Region,152,Malawi
4,0,0,0,19311,Mchinji,1888,Central Region,152,Malawi
5,0,0,0,19312,Nkhotakota,1888,Central Region,152,Malawi
6,0,0,0,19313,Ntcheu,1888,Central Region,152,Malawi
7,0,0,0,19314,Ntchisi,1888,Central Region,152,Malawi
8,0,0,0,19315,Salima,1888,Central Region,152,Malawi
9,0,0,0,19316,Chitipa,1889,Northern Region,152,Malawi
10,0,0,0,19317,Karonga,1889,Northern Region,152,Malawi
11,0,0,0,19318,Mzimba,1889,Northern Region,152,Malawi
12,0,0,0,19320,Rumphi,1889,Northern Region,152,Malawi
13,0,0,0,19321,Blantyre,1890,Southern Region,152,Malawi
14,0,0,0,19322,Chikwawa,1890,Southern Region,152,Malawi
15,0,0,0,19323,Chiradzulu,1890,Southern Region,152,Malawi
16,0,0,0,19325,Mangochi,1890,Southern Region,152,Malawi
17,0,0,0,19328,Nsanje,1890,Southern Region,152,Malawi
18,0,0,0,19329,Thyolo,1890,Southern Region,152,Malawi
19,0,0,0,19330,Zomba,1890,Southern Region,152,Malawi
20,0,0,0,42173,Nkhata Bay,1889,Northern Region,152,Malawi
21,0,0,0,42174,Balaka,1890,Southern Region,152,Malawi
22,0,0,0,42175,Machinga,1890,Southern Region,152,Malawi
23,0,0,0,42176,Mulanje,1890,Southern Region,152,Malawi
24,0,0,0,42177,Phalombe,1890,Southern Region,152,Malawi
25,0,0,0,65269,Area under National Administration,65268,Area under National Administration,152,Malawi
26,0,0,0,65270,Neno,1890,Southern Region,152,Malawi
27,0,0,0,65271,Mwanza,1890,Southern Region,152,Malawi
